munCode,munName,capital,provinceCode,provinceName
05007,Aldeanueva de Santa Cruz,Aldeanueva de Santa Cruz,05,Ávila
05008,Aldeaseca,Aldeaseca,05,Ávila
05010,Aldehuela, La,Aldehuela, La,05,Ávila
05012,Amavida,Amavida,05,Ávila
05013,Arenal, El,Arenal, El,05,Ávila
05014,Arenas de San Pedro,Arenas de San Pedro,05,Ávila
05015,Arevalillo,Arevalillo,05,Ávila
05016,Arévalo,Arévalo,05,Ávila
05017,Aveinte,Aveinte,05,Ávila
05018,Avellaneda,Avellaneda,05,Ávila
05019,Ávila,Ávila,05,Ávila
05021,Barco de Ávila, El,Barco de Ávila, El,05,Ávila
05022,Barraco, El,Barraco, El,05,Ávila
05023,Barromán,Barromán,05,Ávila
05024,Becedas,Becedas,05,Ávila
05025,Becedillas,Becedillas,05,Ávila
05026,Bercial de Zapardiel,Bercial de Zapardiel,05,Ávila
05027,Berlanas, Las,Berlanas, Las,05,Ávila
05029,Bernuy-Zapardiel,Bernuy-Zapardiel,05,Ávila
05030,Berrocalejo de Aragona,Berrocalejo de Aragona,05,Ávila
05033,Blascomillán,Blascomillán,05,Ávila
05034,Blasconuño de Matacabras,Blasconuño de Matacabras,05,Ávila
05035,Blascosancho,Blascosancho,05,Ávila
05036,Bohodón, El,Bohodón, El,05,Ávila
05037,Bohoyo,Bohoyo,05,Ávila
05038,Bonilla de la Sierra,Bonilla de la Sierra,05,Ávila
05039,Brabos,Brabos,05,Ávila
05040,Bularros,Bularros,05,Ávila
05041,Burgohondo,Burgohondo,05,Ávila
05042,Cabezas de Alambre,Cabezas de Alambre,05,Ávila
05043,Cabezas del Pozo,Cabezas del Pozo,05,Ávila
05044,Cabezas del Villar,Cabezas del Villar,05,Ávila
05045,Cabizuela,Cabizuela,05,Ávila
05046,Canales,Canales,05,Ávila
05047,Candeleda,Candeleda,05,Ávila
05048,Cantiveros,Cantiveros,05,Ávila
05049,Cardeñosa,Cardeñosa,05,Ávila
05051,Carrera, La,Carrera, La,05,Ávila
05052,Casas del Puerto,Casas del Puerto,05,Ávila
05053,Casasola,Casasola,05,Ávila
05054,Casavieja,Casavieja,05,Ávila
05055,Casillas,Casillas,05,Ávila
05056,Castellanos de Zapardiel,Castellanos de Zapardiel,05,Ávila
05057,Cebreros,Cebreros,05,Ávila
05058,Cepeda la Mora,Cepeda la Mora,05,Ávila
05059,Cillán,Cillán,05,Ávila
05060,Cisla,Cisla,05,Ávila
05061,Colilla, La,Colilla, La,05,Ávila
05062,Collado de Contreras,Collado de Contreras,05,Ávila
05063,Collado del Mirón,Collado del Mirón,05,Ávila
05064,Constanzana,Constanzana,05,Ávila
05065,Crespos,Crespos,05,Ávila
05066,Cuevas del Valle,Cuevas del Valle,05,Ávila
05067,Chamartín,Chamartín,05,Ávila
05069,Donjimeno,Donjimeno,05,Ávila
05070,Donvidas,Donvidas,05,Ávila
05072,Espinosa de los Caballeros,Espinosa de los Caballeros,05,Ávila
05073,Flores de Ávila,Flores de Ávila,05,Ávila
05074,Fontiveros,Fontiveros,05,Ávila
05075,Fresnedilla,Fresnedilla,05,Ávila
05076,Fresno, El,Fresno, El,05,Ávila
05077,Fuente el Saúz,Fuente el Saúz,05,Ávila
05078,Fuentes de Año,Fuentes de Año,05,Ávila
05079,Gallegos de Altamiros,Gallegos,05,Ávila
05080,Gallegos de Sobrinos,Gallegos de Sobrinos,05,Ávila
05081,Garganta del Villar,Garganta del Villar,05,Ávila
05082,Gavilanes,Gavilanes,05,Ávila
05083,Gemuño,Gemuño,05,Ávila
05084,Gilbuena,Gilbuena,05,Ávila
05085,Gil García,Gil García,05,Ávila
05086,Gimialcón,Gimialcón,05,Ávila
05087,Gotarrendura,Gotarrendura,05,Ávila
05088,Grandes y San Martín,Grandes,05,Ávila
05089,Guisando,Guisando,05,Ávila
05090,Gutierre-Muñoz,Gutierre-Muñoz,05,Ávila
05092,Hernansancho,Hernansancho,05,Ávila
05093,Herradón de Pinares,Herradón, El,05,Ávila
05094,Herreros de Suso,Herreros de Suso,05,Ávila
05095,Higuera de las Dueñas,Higuera de las Dueñas,05,Ávila
05096,Hija de Dios, La,Hija de Dios, La,05,Ávila
05097,Horcajada, La,Horcajada, La,05,Ávila
05099,Horcajo de las Torres,Horcajo de las Torres,05,Ávila
05100,Hornillo, El,Hornillo, El,05,Ávila
05101,Hoyocasero,Hoyocasero,05,Ávila
05102,Hoyo de Pinares, El,Hoyo de Pinares, El,05,Ávila
05103,Hoyorredondo,Hoyorredondo,05,Ávila
05104,Hoyos del Collado,Hoyos del Collado,05,Ávila
05105,Hoyos del Espino,Hoyos del Espino,05,Ávila
05106,Hoyos de Miguel Muñoz,Hoyos de Miguel Muñoz,05,Ávila
05107,Hurtumpascual,Hurtumpascual,05,Ávila
05108,Junciana,Junciana,05,Ávila
05109,Langa,Langa,05,Ávila
05110,Lanzahíta,Lanzahíta,05,Ávila
05112,Losar del Barco, El,Losar del Barco, El,05,Ávila
05113,Llanos de Tormes, Los,Llanos de Tormes, Los,05,Ávila
05114,Madrigal de las Altas Torres,Madrigal de las Altas Torres,05,Ávila
05115,Maello,Maello,05,Ávila
05116,Malpartida de Corneja,Malpartida de Corneja,05,Ávila
05117,Mamblas,Mamblas,05,Ávila
05118,Mancera de Arriba,Mancera de Arriba,05,Ávila
05119,Manjabálago,Manjabálago,05,Ávila
05120,Marlín,Marlín,05,Ávila
05121,Martiherrero,Martiherrero,05,Ávila
05122,Martínez,Martínez,05,Ávila
05123,Mediana de Voltoya,Mediana de Voltoya,05,Ávila
05124,Medinilla,Medinilla,05,Ávila
05125,Mengamuñoz,Mengamuñoz,05,Ávila
05126,Mesegar de Corneja,Mesegar de Corneja,05,Ávila
